id,name,rarity,region
1,bulbasaur,common,kanto
2,ivysaur,common,kanto
3,venusaur,common,kanto
4,charmander,common,kanto
5,charmeleon,common,kanto
6,charizard,common,kanto
7,squirtle,common,kanto
8,wartortle,common,kanto
9,blastoise,common,kanto
10,caterpie,common,kanto
11,metapod,common,kanto
12,butterfree,common,kanto
13,weedle,common,kanto
14,kakuna,common,kanto
15,beedrill,common,kanto
16,pidgey,common,kanto
17,pidgeotto,common,kanto
18,pidgeot,common,kanto
19,rattata,common,kanto
20,raticate,common,kanto
21,spearow,common,kanto
22,fearow,common,kanto
23,ekans,common,kanto
24,arbok,common,kanto
25,pikachu,common,kanto
26,raichu,common,kanto
27,sandshrew,common,kanto
28,sandslash,common,kanto
29,nidoran-f,common,kanto
30,nidorina,common,kanto
31,nidoqueen,common,kanto
32,nidoran-m,common,kanto
33,nidorino,common,kanto
34,nidoking,common,kanto
35,clefairy,common,kanto
36,clefable,common,kanto
37,vulpix,common,kanto
38,ninetales,common,kanto
39,jigglypuff,common,kanto
40,wigglytuff,common,kanto
41,zubat,common,kanto
42,golbat,common,kanto
43,oddish,common,kanto
44,gloom,common,kanto
45,vileplume,common,kanto
46,paras,common,kanto
47,parasect,common,kanto
48,venonat,common,kanto
49,venomoth,common,kanto
50,diglett,common,kanto
51,dugtrio,common,kanto
52,meowth,common,kanto
53,persian,common,kanto
54,psyduck,common,kanto
55,golduck,common,kanto
56,mankey,common,kanto
57,primeape,common,kanto
58,growlithe,common,kanto
59,arcanine,common,kanto
60,poliwag,common,kanto
61,poliwhirl,common,kanto
62,poliwrath,common,kanto
63,abra,common,kanto
64,kadabra,common,kanto
65,alakazam,common,kanto
66,machop,common,kanto
67,machoke,common,kanto
68,machamp,common,kanto
69,bellsprout,common,kanto
70,weepinbell,common,kanto
71,victreebel,common,kanto
72,tentacool,common,kanto
73,tentacruel,common,kanto
74,geodude,common,kanto
75,graveler,common,kanto
76,golem,common,kanto
77,ponyta,common,kanto
78,rapidash,common,kanto
79,slowpoke,common,kanto
80,slowbro,common,kanto
81,magnemite,common,kanto
82,magneton,common,kanto
83,farfetchd,common,kanto
84,doduo,common,kanto
85,dodrio,common,kanto
86,seel,common,kanto
87,dewgong,common,kanto
88,grimer,common,kanto
89,muk,common,kanto
90,shellder,common,kanto
91,cloyster,common,kanto
92,gastly,common,kanto
93,haunter,common,kanto
94,gengar,common,kanto
95,onix,common,kanto
96,drowzee,common,kanto
97,hypno,common,kanto
98,krabby,common,kanto
99,kingler,common,kanto
100,voltorb,common,kanto
101,electrode,common,kanto
102,exeggcute,common,kanto
103,exeggutor,common,kanto
104,cubone,common,kanto
105,marowak,common,kanto
106,hitmonlee,common,kanto
107,hitmonchan,common,kanto
108,lickitung,common,kanto
109,koffing,common,kanto
110,weezing,common,kanto
111,rhyhorn,common,kanto
112,rhydon,common,kanto
113,chansey,common,kanto
114,tangela,common,kanto
115,kangaskhan,common,kanto
116,horsea,common,kanto
117,seadra,common,kanto
118,goldeen,common,kanto
119,seaking,common,kanto
120,staryu,common,kanto
121,starmie,common,kanto
122,mr-mime,common,kanto
123,scyther,common,kanto
